value_salary,year,region
43874.0,2020,Республика Татарстан
38442.0,2020,Удмуртская Республика
33319.0,2020,Чувашская Республика
41050.0,2020,Пермский край
35350.0,2020,Кировская область
40820.0,2020,Нижегородская область
38931.0,2020,Оренбургская область
36314.0,2020,Пензенская область
39951.0,2020,Самарская область
43561.0,2020,Саратовская область
34556.0,2020,Ульяновская область
58600.0,2020,Уральский федеральный округ
31500.0,2020,Курганская область
50295.0,2020,Свердловская область
79701.0,2020,Ханты-Мансийский автономный округ - Югра
93622.0,2020,Ямало-Ненецкий автономный округ
51039.0,2020,Тюменская область
42903.0,2020,Челябинская область
45228.0,2020,Сибирский федеральный округ
35465.0,2020,Республика Алтай
44813.0,2020,Республика Тыва
49027.0,2020,Республика Хакасия
32416.0,2020,Алтайский край
55000.0,2020,Красноярский край
52115.0,2020,Иркутская область
39650.0,2020,Кемеровская область - Кузбасс
43709.0,2020,Новосибирская область
39317.0,2020,Омская область
50909.0,2020,Томская область
61001.0,2020,Дальневосточный федеральный округ
43822.0,2020,Республика Бурятия
46653.0,2020,Республика Саха (Якутия)
71068.0,2020,Забайкальский край
87424.0,2020,Камчатский край
49153.0,2020,Приморский край
60976.0,2020,Хабаровский край
55095.0,2020,Амурская область
81663.0,2020,Магаданская область
71773.0,2020,Сахалинская область
52123.0,2020,Еврейская автономная область
127908.0,2020,Чукотский автономный округ
35492.0,2020,Российская Федерация
40870.0,2020,Центральный федеральный округ
27916.0,2020,Белгородская область
20162.0,2020,Брянская область
28276.0,2020,Владимирская область
27651.0,2020,Воронежская область
24473.0,2020,Ивановская область
33112.0,2020,Калужская область
26904.0,2020,Костромская область
26449.0,2020,Курская область
25531.0,2020,Липецкая область
40666.0,2020,Московская область
22401.0,2020,Орловская область
23260.0,2020,Рязанская область
26290.0,2020,Смоленская область
26306.0,2020,Тамбовская область
25949.0,2020,Тверская область
32280.0,2020,Тульская область
29850.0,2020,Ярославская область
76311.0,2020,Город Москва
41179.0,2020,Северо-Западный федеральный округ
31933.0,2020,Республика Карелия
42764.0,2020,Республика Коми
70650.0,2020,Ненецкий автономный округ
36906.0,2020,Архангельская область
36924.0,2020,Вологодская область
27314.0,2020,Калининградская область
38749.0,2020,Ленинградская область
53781.0,2020,Мурманская область
25332.0,2020,Новгородская область
24996.0,2020,Псковская область
52294.0,2020,Санкт-Петербург
28217.0,2020,Южный федеральный округ
24334.0,2020,Республика Адыгея
20218.0,2020,Республика Калмыкия
35047.0,2020,Республика Крым
30023.0,2020,Краснодарский край
25086.0,2020,Астраханская область
26069.0,2020,Волгоградская область
24675.0,2020,Ростовская область
33471.0,2020,Севастополь
24484.0,2020,Северо-Кавказский федеральный округ
19473.0,2020,Республика Дагестан
19564.0,2020,Республика Ингушетия
20778.0,2020,Кабардино-Балкарская Республика
18819.0,2020,Карачаево-Черкесская Республика
20532.0,2020,Республика Северная Осетия — Алания
20262.0,2020,Чеченская Республика
28751.0,2020,Ставропольский край
27851.0,2020,Приволжский федеральный округ
29108.0,2020,Республика Башкортостан
23245.0,2020,Республика Марий Эл
17769.0,2020,Республика Мордовия
31275.0,2020,Республика Татарстан
28979.0,2020,Удмуртская Республика
25519.0,2020,Чувашская Республика
31496.0,2020,Пермский край
27930.0,2020,Кировская область
28832.0,2020,Нижегородская область
26481.0,2020,Оренбургская область
25072.0,2020,Пензенская область
29241.0,2020,Самарская область
23866.0,2020,Саратовская область
25453.0,2020,Ульяновская область
38820.0,2020,Уральский федеральный округ
22593.0,2020,Курганская область
36489.0,2020,Свердловская область
49862.0,2020,Ханты-Мансийский автономный округ - Югра
73197.0,2020,Ямало-Ненецкий автономный округ
36105.0,2020,Тюменская область
28779.0,2020,Челябинская область
35470.0,2020,Сибирский федеральный округ
26537.0,2020,Республика Алтай
29900.0,2020,Республика Тыва
31154.0,2020,Республика Хакасия
22881.0,2020,Алтайский край
51611.0,2020,Красноярский край
34091.0,2020,Иркутская область
32597.0,2020,Кемеровская область - Кузбасс
29645.0,2020,Новосибирская область
31708.0,2020,Омская область
37620.0,2020,Томская область
42336.0,2020,Дальневосточный федеральный округ
33976.0,2020,Республика Бурятия
31478.0,2020,Республика Саха (Якутия)
60209.0,2020,Забайкальский край
68673.0,2020,Камчатский край
35089.0,2020,Приморский край
41531.0,2020,Хабаровский край
29003.0,2020,Амурская область
54398.0,2020,Магаданская область
55778.0,2020,Сахалинская область
34064.0,2020,Еврейская автономная область
81355.0,2020,Чукотский автономный округ
39933.0,2020,Российская Федерация
45045.0,2020,Центральный федеральный округ
28371.0,2020,Белгородская область
25760.0,2020,Брянская область
25829.0,2020,Владимирская область
27394.0,2020,Воронежская область
20658.0,2020,Ивановская область
33080.0,2020,Калужская область
26895.0,2020,Костромская область
34612.0,2020,Курская область
28973.0,2020,Липецкая область
44365.0,2020,Московская область
25952.0,2020,Орловская область
25413.0,2020,Рязанская область
28207.0,2020,Смоленская область
22582.0,2020,Тамбовская область
35367.0,2020,Тверская область
28498.0,2020,Тульская область
25280.0,2020,Ярославская область
59237.0,2020,Город Москва
44735.0,2020,Северо-Западный федеральный округ
33026.0,2020,Республика Карелия
38118.0,2020,Республика Коми
68631.0,2020,Ненецкий автономный округ
40404.0,2020,Архангельская область
36334.0,2020,Вологодская область
27201.0,2020,Калининградская область
44354.0,2020,Ленинградская область
78897.0,2020,Мурманская область
25752.0,2020,Новгородская область
26564.0,2020,Псковская область
48159.0,2020,Санкт-Петербург
33911.0,2020,Южный федеральный округ
26446.0,2020,Республика Адыгея
24063.0,2020,Республика Калмыкия
38727.0,2020,Республика Крым
32655.0,2020,Краснодарский край
38927.0,2020,Астраханская область
33782.0,2020,Волгоградская область
33174.0,2020,Ростовская область
42203.0,2020,Севастополь
25534.0,2020,Северо-Кавказский федеральный округ
22558.0,2020,Республика Дагестан
9551.0,2020,Республика Ингушетия
36217.0,2020,Кабардино-Балкарская Республика
17504.0,2020,Карачаево-Черкесская Республика
21292.0,2020,Республика Северная Осетия — Алания
14440.0,2020,Чеченская Республика
28781.0,2020,Ставропольский край
27787.0,2020,Приволжский федеральный округ
29709.0,2020,Республика Башкортостан
24679.0,2020,Республика Марий Эл
29051.0,2020,Республика Мордовия
30548.0,2020,Республика Татарстан
27324.0,2020,Удмуртская Республика
24515.0,2020,Чувашская Республика
28284.0,2020,Пермский край
28236.0,2020,Кировская область
25567.0,2020,Нижегородская область
25369.0,2020,Оренбургская область
31501.0,2020,Пензенская область
25296.0,2020,Самарская область
28866.0,2020,Саратовская область
23817.0,2020,Ульяновская область
42996.0,2020,Уральский федеральный округ
30186.0,2020,Курганская область
31830.0,2020,Свердловская область
