value_population,year,territory
1.9,2019,Кабардино-Балкарская
2.5,2019,Кабардино-Балкарская
2.8,2019,Кабардино-Балкарская
3.1,2019,Кабардино-Балкарская
3.3,2019,Кабардино-Балкарская
3.2,2019,Кабардино-Балкарская
3.3,2019,Кабардино-Балкарская
1.4,2019,Карачаево-Черкесская
1.6,2019,Карачаево-Черкесская
0.9,2019,Карачаево-Черкесская
0.9,2019,Карачаево-Черкесская
1.1,2019,Карачаево-Черкесская
1.3,2019,Карачаево-Черкесская
1.5,2019,Карачаево-Черкесская
1.9,2019,Карачаево-Черкесская
2.2,2019,Карачаево-Черкесская
2.3,2019,Карачаево-Черкесская
2.1,2019,Карачаево-Черкесская
2.0,2019,Карачаево-Черкесская
1.9,2019,Северная Осетия - Алания
1.0,2019,Северная Осетия - Алания
0.7,2019,Северная Осетия - Алания
0.6,2019,Северная Осетия - Алания
0.5,2019,Северная Осетия - Алания
0.7,2019,Северная Осетия - Алания
1.4,2019,Северная Осетия - Алания
1.7,2019,Северная Осетия - Алания
1.8,2019,Северная Осетия - Алания
2.0,2019,Северная Осетия - Алания
2.0,2019,Северная Осетия - Алания
2.0,2019,Северная Осетия - Алания
15.9,2019,Чеченская
14.8,2019,Чеченская
13.3,2019,Чеченская
12.9,2019,Чеченская
12.6,2019,Чеченская
12.7,2019,Чеченская
13.5,2019,Чеченская
13.8,2019,Чеченская
14.3,2019,Чеченская
14.8,2019,Чеченская
14.9,2019,Чеченская
14.9,2019,Чеченская
-2.2,2019,Ставропольский
-2.5,2019,Ставропольский
-2.6,2019,Ставропольский
-2.7,2019,Ставропольский
-2.6,2019,Ставропольский
-2.1,2019,Ставропольский
-1.8,2019,Ставропольский
-1.5,2019,Ставропольский
-1.3,2019,Ставропольский
-1.3,2019,Ставропольский
-1.3,2019,Ставропольский
-1.3,2019,Ставропольский
-4.7,2019,
-4.5,2019,
-4.2,2019,
-4.0,2019,
-4.1,2019,
-3.8,2019,
-3.6,2019,
-3.4,2019,
-3.3,2019,
-3.3,2019,
-3.4,2019,
-3.3,2019,
-3.2,2019,Башкортостан
-2.7,2019,Башкортостан
-2.4,2019,Башкортостан
-2.3,2019,Башкортостан
-2.2,2019,Башкортостан
-2.1,2019,Башкортостан
-1.9,2019,Башкортостан
-1.8,2019,Башкортостан
-1.7,2019,Башкортостан
-1.8,2019,Башкортостан
-1.8,2019,Башкортостан
-1.8,2019,Башкортостан
-3.8,2019,Марий Эл
-3.3,2019,Марий Эл
-2.9,2019,Марий Эл
-2.9,2019,Марий Эл
-3.0,2019,Марий Эл
-2.6,2019,Марий Эл
-2.3,2019,Марий Эл
-2.2,2019,Марий Эл
-2.1,2019,Марий Эл
-2.1,2019,Марий Эл
-2.2,2019,Марий Эл
-2.3,2019,Марий Эл
-5.9,2019,Мордовия
-5.8,2019,Мордовия
-6.1,2019,Мордовия
-6.6,2019,Мордовия
-6.4,2019,Мордовия
-6.2,2019,Мордовия
-5.9,2019,Мордовия
-5.8,2019,Мордовия
-5.7,2019,Мордовия
-5.7,2019,Мордовия
-5.7,2019,Мордовия
-5.7,2019,Мордовия
-1.2,2019,Татарстан
-1.2,2019,Татарстан
-0.8,2019,Татарстан
-0.7,2019,Татарстан
-0.6,2019,Татарстан
-0.5,2019,Татарстан
-0.2,2019,Татарстан
0.0,2019,Татарстан
0.0,2019,Татарстан
0.0,2019,Татарстан
0.0,2019,Татарстан
0.0,2019,Татарстан
-3.3,2019,Удмуртская
-2.9,2019,Удмуртская
-2.8,2019,Удмуртская
-2.6,2019,Удмуртская
-2.7,2019,Удмуртская
-2.5,2019,Удмуртская
-2.3,2019,Удмуртская
-2.2,2019,Удмуртская
-2.1,2019,Удмуртская
-2.1,2019,Удмуртская
-2.1,2019,Удмуртская
-2.2,2019,Удмуртская
-3.9,2019,Чувашская
-3.6,2019,Чувашская
-3.6,2019,Чувашская
-3.5,2019,Чувашская
-3.3,2019,Чувашская
-3.2,2019,Чувашская
-3.0,2019,Чувашская
-2.9,2019,Чувашская
-2.8,2019,Чувашская
-3.0,2019,Чувашская
-2.9,2019,Чувашская
-3.0,2019,Чувашская
